2016-10-13 11:30:58.237 ; TestPlan      ; Information ; ------------------------------------------------
2016-10-13 11:30:58.257 ; TestPlan      ; Information ; Starting TestPlan 'Delay-Verdict.TapPlan' on 10/13/2016 11:30:58 AM, 3 of 3 TestSteps enabled.
2016-10-13 11:30:58.257 ; Settings      ; Debug       ; No settings file exists for DutSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:30:58.269 ; Settings      ; Debug       ; No settings file exists for ConnectionSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:30:58.269 ; Settings      ; Debug       ; No settings file exists for InstrumentSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:30:58.270 ; Settings      ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:30:58.273 ; Settings      ; Debug       ; No settings file exists for ResultSettings. A new instance with default values has been created. [0ms]
2016-10-13 11:30:58.307 ; TestPlan      ; Debug       ; TestStep Delay PrePlanRunCompleted. [0 ms]
2016-10-13 11:30:58.307 ; TestPlan      ; Debug       ; TestStep Delay (1) PrePlanRunCompleted. [0 ms]
2016-10-13 11:30:58.307 ; TestPlan      ; Debug       ; TestStep Set Verdict PrePlanRunCompleted. [0 ms]
2016-10-13 11:30:58.317 ; TestPlan      ; Information ; "Delay" started.
2016-10-13 11:30:59.208 ; Session       ; Debug       ; Windows Version: Microsoft Windows NT 6.2.9200.0
2016-10-13 11:30:59.208 ; Session       ; Debug       ; .Net Version: CDF, v2.0.50727, v3.0, v3.5, v4, v4.0
2016-10-13 11:30:59.208 ; Session       ; Debug       ; Keysight I/O Libs Version:81.1.20011.4
2016-10-13 11:30:59.208 ; Session       ; Debug       ; Processor Name: Intel(R) Core(TM) i7-4800MQ CPU @ 2.70GHz
2016-10-13 11:30:59.369 ; TestPlan      ; Information ; "Delay" completed. [1050 ms]
2016-10-13 11:30:59.369 ; TestPlan      ; Information ; "Delay (1)" started.
2016-10-13 11:31:00.372 ; TestPlan      ; Information ; "Delay (1)" completed. [1002 ms]
2016-10-13 11:31:00.372 ; TestPlan      ; Information ; "Set Verdict" started.
2016-10-13 11:31:00.374 ; TestPlan      ; Information ; "Set Verdict" completed with verdict 'Pass'. [2 ms]
2016-10-13 11:31:00.374 ; TestPlan      ; Information ; TestPlan Run finished. [2061 ms]
2016-10-13 11:31:00.379 ; TestPlan      ; Debug       ; TestStep 'Set Verdict' PostPlanRun completed. [0 ms]
2016-10-13 11:31:00.379 ; TestPlan      ; Debug       ; TestStep 'Delay (1)' PostPlanRun completed. [0 ms]
2016-10-13 11:31:00.379 ; TestPlan      ; Debug       ; TestStep 'Delay' PostPlanRun completed. [0 ms]
2016-10-13 11:31:57.776 ; PluginManager ; Debug       ; A license was detected
2016-10-13 11:37:25.080 ; Session       ; Debug       ; Session log loaded as 'TapPythonConsole_log.txt'.
2016-10-13 11:37:25.091 ; Session       ; Debug       ; Startup session log loaded as 'TapPythonConsole_log.txt'.
2016-10-13 11:37:25.148 ; TestPlan      ; Information ; Loaded test plan from Delay-Verdict.TapPlan [56 ms]
2016-10-13 11:37:25.156 ; TestPlan      ; Information ; ------------------------------------------------
